"id_number","Revenue"
1,"TRUE"
2,"TRUE"
3,"TRUE"
4,"FALSE"
5,"TRUE"
6,"FALSE"
7,"TRUE"
8,"FALSE"
9,"FALSE"
10,"TRUE"
11,"TRUE"
12,"TRUE"
13,"TRUE"
14,"TRUE"
15,"TRUE"
16,"TRUE"
17,"FALSE"
18,"TRUE"
19,"TRUE"
20,"TRUE"
21,"TRUE"
22,"FALSE"
23,"TRUE"
24,"TRUE"
25,"FALSE"
26,"TRUE"
27,"TRUE"
28,"FALSE"
29,"TRUE"
30,"FALSE"
31,"TRUE"
32,"FALSE"
33,"TRUE"
34,"TRUE"
35,"FALSE"
36,"TRUE"
37,"FALSE"
38,"TRUE"
39,"TRUE"
40,"TRUE"
41,"TRUE"
42,"TRUE"
43,"TRUE"
44,"FALSE"
45,"TRUE"
46,"TRUE"
47,"TRUE"
48,"TRUE"
49,"TRUE"
50,"FALSE"
51,"TRUE"
52,"TRUE"
53,"FALSE"
54,"TRUE"
55,"TRUE"
56,"TRUE"
57,"FALSE"
58,"TRUE"
59,"TRUE"
60,"TRUE"
61,"TRUE"
62,"TRUE"
63,"TRUE"
64,"TRUE"
65,"TRUE"
66,"TRUE"
67,"TRUE"
68,"TRUE"
69,"TRUE"
70,"FALSE"
71,"TRUE"
72,"TRUE"
73,"TRUE"
74,"TRUE"
75,"TRUE"
76,"TRUE"
77,"TRUE"
78,"TRUE"
79,"TRUE"
80,"FALSE"
81,"TRUE"
82,"TRUE"
83,"TRUE"
84,"TRUE"
85,"TRUE"
86,"TRUE"
87,"TRUE"
88,"TRUE"
89,"TRUE"
90,"FALSE"
91,"TRUE"
92,"FALSE"
93,"TRUE"
94,"TRUE"
95,"TRUE"
96,"TRUE"
97,"TRUE"
98,"TRUE"
99,"TRUE"
100,"TRUE"
101,"TRUE"
102,"TRUE"
103,"TRUE"
104,"FALSE"
105,"FALSE"
106,"TRUE"
107,"TRUE"
108,"FALSE"
109,"TRUE"
110,"TRUE"
111,"TRUE"
112,"TRUE"
113,"TRUE"
114,"TRUE"
115,"TRUE"
116,"TRUE"
117,"TRUE"
118,"TRUE"
119,"TRUE"
120,"FALSE"
121,"FALSE"
122,"TRUE"
123,"TRUE"
124,"TRUE"
125,"TRUE"
126,"TRUE"
127,"FALSE"
128,"TRUE"
129,"TRUE"
130,"TRUE"
131,"TRUE"
132,"TRUE"
133,"TRUE"
134,"FALSE"
135,"TRUE"
136,"TRUE"
137,"TRUE"
138,"FALSE"
139,"TRUE"
140,"TRUE"
141,"FALSE"
142,"TRUE"
143,"TRUE"
144,"FALSE"
145,"TRUE"
146,"TRUE"
147,"TRUE"
148,"TRUE"
149,"TRUE"
150,"TRUE"
151,"TRUE"
152,"TRUE"
153,"TRUE"
154,"TRUE"
155,"FALSE"
156,"TRUE"
157,"FALSE"
158,"FALSE"
159,"FALSE"
160,"FALSE"
161,"TRUE"
162,"FALSE"
163,"TRUE"
164,"TRUE"
165,"TRUE"
166,"FALSE"
167,"TRUE"
168,"FALSE"
169,"TRUE"
170,"TRUE"
171,"TRUE"
172,"TRUE"
173,"TRUE"
174,"FALSE"
175,"TRUE"
176,"TRUE"
177,"TRUE"
178,"TRUE"
179,"TRUE"
180,"TRUE"
181,"FALSE"
182,"TRUE"
183,"FALSE"
184,"FALSE"
185,"FALSE"
186,"FALSE"
187,"TRUE"
188,"FALSE"
189,"FALSE"
190,"TRUE"
191,"TRUE"
192,"FALSE"
193,"TRUE"
194,"TRUE"
195,"TRUE"
